day,S,I,P,R_t
411.0,7498.352914537702,10990.233555385046,0.0,38.65887856068425
412.0,7496.452574593681,10939.626116071428,0.0,38.649081074228526
413.0,7494.552234649658,10889.018676757812,0.0,38.639283587772795
414.0,7255.477773393904,11173.517456054688,0.0,37.40669948963997
415.0,7016.403312138148,11458.016235351562,0.0,36.174115391507144
416.0,6777.328850882393,11742.515014648438,0.0,34.94153129337432
417.0,6538.25438962664,12027.013793945312,0.0,33.70894719524149
418.0,6299.179928370884,12311.512573242186,0.0,32.47636309710867
419.0,6060.10546711513,12596.011352539062,0.0,31.243778998975845
420.0,5821.031005859375,12880.510131835938,0.0,30.01119490084302
421.0,6235.140288553067,12479.232055664062,0.0,32.14619716773676
422.0,6649.249571246762,12077.953979492188,0.0,34.281199434630494
423.0,7063.358853940453,11676.675903320312,0.0,36.41620170152423
424.0,7477.468136634146,11275.397827148438,0.0,38.551203968417965
425.0,7891.577419327837,10874.119750976562,0.0,40.6862062353117
426.0,8305.68670202153,10472.841674804688,0.0,42.82120850220544
427.0,8719.795984715223,10071.563598632812,0.0,44.95621076909917
428.0,7997.269326184477,10777.149693080357,0.0,41.231116649450264
429.0,7274.742667653731,11482.735787527901,0.0,37.506022529801356
430.0,6552.216009122985,12188.321881975447,0.0,33.780928410152455
431.0,5829.689350592238,12893.90797642299,0.0,30.055834290503547
432.0,5107.162692061493,13599.494070870536,0.0,26.33074017085464
433.0,4384.636033530746,14305.080165318082,0.0,22.60564605120573
434.0,3662.109375,15010.666259765625,0.0,18.880551931556827
435.0,4785.4427490234375,13893.189566476005,0.0,24.672064945746904
436.0,5908.776123046875,12775.712873186385,0.0,30.463577959936977
437.0,7032.1094970703125,11658.236179896763,0.0,36.25509097412706
438.0,8155.44287109375,10540.759486607143,0.0,42.04660398831713
439.0,9278.776245117188,9423.282793317521,0.0,47.838117002507204
440.0,10402.109619140625,8305.806100027901,0.0,53.62963001669728
441.0,11525.442993164062,7188.329406738281,0.0,59.42114303088736
442.0,10181.486280168807,8536.250017438615,0.0,52.49217343574225
443.0,8837.52956717355,9884.17062813895,0.0,45.563203840597154
444.0,7493.572854178292,11232.091238839284,0.0,38.63423424545205
445.0,6149.616141183036,12580.01184953962,0.0,31.705264650306944
446.0,4805.65942818778,13927.932460239954,0.0,24.77629505516184
447.0,3461.702715192523,15275.853070940288,0.0,17.84732546001674
448.0,2117.7460021972656,16623.773681640625,0.0,10.918355864871632
449.0,3273.325779506138,15472.794363839286,0.0,16.87612002819257
450.0,4428.905556815011,14321.815046037947,0.0,22.833884191513512
451.0,5584.485334123884,13170.835728236607,0.0,28.79164835483445
452.0,6740.065111432757,12019.856410435268,0.0,34.74941251815539
453.0,7895.644888741629,10868.877092633928,0.0,40.70717668147633
454.0,9051.224666050502,9717.897774832589,0.0,46.66494084479727
455.0,10206.804443359375,8566.91845703125,0.0,52.6227050081182
456.0,9050.231985909599,9728.577218191964,0.0,46.65982293404352
457.0,7893.659528459822,10890.235979352678,0.0,40.696940859968834
458.0,6737.087071010044,12051.894740513393,0.0,34.73405878589415
459.0,5580.514613560268,13213.553501674107,0.0,28.771176711819468
460.0,4423.942156110491,14375.21226283482,0.0,22.808294637744783
461.0,3267.369698660714,15536.871023995536,0.0,16.845412563670102
462.0,2110.7972412109375,16698.52978515625,0.0,10.882530489595418
463.0,3006.612845284598,15796.621355329242,0.0,15.501041654028219
464.0,3902.4284493582586,14894.712925502232,0.0,20.11955281846102
465.0,4798.244053431919,13992.804495675224,0.0,24.73806398289382
466.0,5694.059657505581,13090.896065848214,0.0,29.356575147326623
467.0,6589.875261579242,12188.987636021206,0.0,33.975086311759426
468.0,7485.690865652902,11287.079206194197,0.0,38.59359747619223
469.0,8381.506469726562,10385.170776367188,0.0,43.212108640625026
470.0,8025.396510532924,10744.698765345982,0.0,41.37613055001975
471.0,7669.286551339286,11104.226754324776,0.0,39.54015245941448
472.0,7313.176592145646,11463.75474330357,0.0,37.704174368809205
473.0,6957.066632952009,11823.282732282367,0.0,35.86819627820393
474.0,6600.95667375837,12182.810721261161,0.0,34.03221818759866
475.0,6244.846714564732,12542.338710239954,0.0,32.196240096993385
476.0,5888.736755371094,12901.86669921875,0.0,30.360262006388112
477.0,6280.606855119978,12519.721139090401,0.0,32.380606843503465
478.0,6672.476954868862,12137.575578962054,0.0,34.40095168061882
479.0,7064.347054617745,11755.430018833704,0.0,36.42129651773417
480.0,7456.21715436663,11373.284458705359,0.0,38.44164135484952
481.0,7848.087254115513,10991.138898577008,0.0,40.46198619196487
482.0,8239.957353864398,10608.99333844866,0.0,42.48233102908022
483.0,8631.827453613281,10226.847778320312,0.0,44.502675866195574
484.0,7963.004682268415,10874.398751395089,0.0,41.054460159261865
485.0,7294.181910923549,11521.949724469867,0.0,37.60624445232816
486.0,6625.359139578683,12169.500697544643,0.0,34.15802874539445
487.0,5956.536368233817,12817.05167061942,0.0,30.709813038460748
488.0,5287.713596888951,13464.602643694196,0.0,27.261597331527042
489.0,4618.890825544086,14112.153616768974,0.0,23.813381624593333
490.0,3950.0680541992188,14759.70458984375,0.0,20.365165917659628
491.0,5004.727520551,13724.232840401786,0.0,25.802620342286797
492.0,6059.386986902782,12688.761090959822,0.0,31.240074766913963
493.0,7114.046453254563,11653.289341517857,0.0,36.67752919154113
494.0,8168.705919606346,10617.817592075893,0.0,42.1149836161683
495.0,9223.365385958128,9582.345842633928,0.0,47.55243804079547
496.0,10278.024852309907,8546.874093191964,0.0,52.98989246542264
497.0,11332.68431866169,7511.40234375,0.0,58.42734689004981
498.0,10015.598177330834,8811.865687779018,0.0,51.6369125410674
499.0,8698.51203599998,10112.329031808036,0.0,44.846478192084994
500.0,7381.425894669123,11412.792375837053,0.0,38.056043843102586
501.0,6064.3397533382695,12713.255719866072,0.0,31.26560949412018
502.0,4747.253612007414,14013.719063895089,0.0,24.475175145137776
503.0,3430.167470676559,15314.182407924105,0.0,17.684740796155367
504.0,2113.081329345703,16614.645751953125,0.0,10.894306447172957
505.0,3137.518136433193,15593.399152483258,0.0,16.175943437278775
506.0,4161.954943520683,14572.152553013391,0.0,21.457580427384592
507.0,5186.391750608172,13550.905953543526,0.0,26.739217417490412
508.0,6210.828557695662,12529.659354073661,0.0,32.02085440759623
509.0,7235.26536478315,11508.412754603794,0.0,37.30249139770205
510.0,8259.70217187064,10487.166155133928,0.0,42.584128387807866
511.0,9284.13897895813,9465.919555664062,0.0,47.86576537791369
512.0,8448.712813854218,10326.714146205357,0.0,43.55860098711078
513.0,7613.286648750305,11187.508736746651,0.0,39.25143659630787
514.0,6777.860483646392,12048.303327287947,0.0,34.94427220550496
515.0,5942.434318542481,12909.09791782924,0.0,30.63710781470205
516.0,5107.008153438568,13769.892508370536,0.0,26.329943423899138
517.0,4271.581988334656,14630.687098911832,0.0,22.022779033096228
518.0,3436.1558232307434,15491.481689453125,0.0,17.715614642293318
519.0,4630.333653450013,14313.703752790178,0.0,23.872376833200924
520.0,5824.511483669281,13135.925816127232,0.0,30.029139024108527
