week,S,I,P,D,E,R,Q,W,H,A,R_t
167.0,113.57814,1.0264208,0.0,0.0,0.0,1937.3457,0.0015882744,0.074224345,487.99182,0.0019973728,0.8114702607315752
168.0,118.8866,2.6886666,0.0,0.0,0.28245237,1940.874,0.005743709,0.10176043,486.46298,0.0,0.8493970554078417
169.0,113.9248,0.5104362,0.0,0.0,0.7645138,1939.2925,0.0053942627,0.38172936,489.514,0.00133198,0.8139470392085575
170.0,110.57095,1.4690534,0.0,0.0,0.6868422,1944.7948,0.0017640484,0.1497427,486.7862,0.0,0.7899851695270268
171.0,120.55612,0.7357483,0.0,0.0,0.0,1932.8567,0.0,0.07719275,487.1521,0.0023073321,0.8613251983133347
172.0,118.151596,1.278873,0.0,0.0,0.5677668,1934.3401,0.009324218,0.0,486.19092,0.0022103414,0.8441458249809505
173.0,118.99545,0.015877206,0.0,0.0,1.742737,1936.4409,0.0018386081,0.10254609,486.37268,0.0029424445,0.8501748166142936
174.0,121.73287,1.6438805,0.0,0.0,1.6247895,1935.7893,0.0,0.11399767,486.28116,0.011114272,0.869732606991345
175.0,117.346176,0.22306454,0.0,0.0,0.76159555,1933.0739,0.00765521,0.20306578,488.06635,0.0013515411,0.8383913950182001
176.0,123.181114,1.4115978,0.0,0.0,0.020449327,1932.9789,0.0061444705,0.0041631237,487.30957,0.0019351292,0.8800796900325352
177.0,120.88138,0.8902796,0.0,0.0,0.7755791,1931.9039,0.011084687,0.020327639,485.5839,0.0032420128,0.86364897011782
178.0,122.82022,0.37897587,0.0,0.0,0.8403175,1938.1665,0.005602908,0.066484354,487.4867,0.0012304123,0.8775012250761988
179.0,130.23804,0.0,0.0,0.0,1.7850024,1931.1321,0.00876044,0.32184368,486.31006,0.0027948185,0.9304986046492009
180.0,124.1266,0.54350966,0.0,0.0,0.84369063,1933.6204,0.00232437,0.0,487.43103,4.7700225e-05,0.886834822879868
181.0,126.822174,0.7732664,0.0,0.0,0.0,1934.7903,0.0143320225,0.25325644,486.13962,0.003952802,0.9060936315687627
182.0,123.9769,0.8268348,0.0,0.0,0.28403825,1935.9044,0.026338037,0.035828523,487.56125,0.00068570505,0.8857652479145228
183.0,123.29353,0.91371584,0.0,0.0,1.8815174,1929.6403,0.0,0.0063182744,483.9584,0.0034403282,0.8808829069269302
184.0,130.53317,0.06473063,0.0,0.0,0.6048544,1928.6875,0.0010321469,0.112913094,486.49722,0.001320952,0.9326071750489788
185.0,129.3444,0.4728097,0.0,0.0,0.4393516,1930.6095,0.0033431165,0.07953083,485.7251,0.0,0.9241139147467494
186.0,129.56184,0.395756,0.0,0.0,0.32054052,1936.4268,0.0033499512,0.018733019,486.59167,0.0010134716,0.9256674748368179
187.0,134.51575,0.16426945,0.0,0.0,0.0018414493,1931.4352,0.016584845,0.09038188,486.1322,0.0026847483,0.9610611832724056
188.0,134.91382,2.1588082,0.0,0.0,0.0,1932.2385,0.020449672,0.05018288,484.9635,0.0,0.9639051886651734
189.0,126.752205,1.0595627,0.0,0.0,1.9415599,1933.1102,0.00880995,0.19670601,486.42877,0.0041469187,0.9055937570799392
190.0,133.08911,1.6866169,0.0,0.0,0.22034374,1923.6329,0.019697534,0.07723995,485.0014,0.006513361,0.9508683333554865
191.0,136.49815,1.3939327,0.0,0.0,0.23878282,1929.3276,0.002742522,0.0,486.04462,0.0039344016,0.9752245754187452
192.0,132.79875,0.98956656,0.0,0.0,0.9637081,1921.7755,0.015851561,0.016741933,485.26428,0.003859815,0.9487939128240082
193.0,137.13509,0.6445356,0.0,0.0,1.1130621,1932.2162,0.022917975,0.08191216,485.65833,0.004266934,0.979775229337528
194.0,131.37292,0.9080582,0.0,0.0,1.1133085,1927.344,0.032595027,0.0,484.05246,0.00069980137,0.9386069771300893
195.0,135.20355,1.0153937,0.0,0.0,1.6201348,1929.3551,0.003134348,0.04411298,483.3737,0.003876592,0.9659752212247472
