day,S,I,P,D,E,R,Q,W,H,A,R_t
887.0,83.92871148245675,2.3716884340558733,0.0,0.0,0.5624537382807051,1953.0363420758927,0.006077700286238854,0.14780514993305716,492.7124481201172,0.0013803119904228617,0.5996370235436362
888.0,83.027345929827,2.435744438852583,0.0,0.0,0.6749444859368461,1952.5201241629463,0.0032182800018095547,0.15246321879593389,492.85267639160156,0.0006901559952114311,0.5931971277373405
889.0,82.12598037719727,2.499800443649292,0.0,0.0,0.7874352335929871,1952.00390625,0.00035885971738025546,0.15712128765881062,492.99290466308594,0.0,0.5867572319310446
890.0,83.08648272923061,2.165900109069688,0.0,0.0,0.9219043595450265,1952.3195059640066,0.00030759404346879037,0.14904552644916944,492.8486698695592,0.00013667210337838957,0.5936196364801758
891.0,84.04698508126394,1.8319997744900838,0.0,0.0,1.056373485497066,1952.6351056780134,0.00025632836955732534,0.14096976523952826,492.7044350760323,0.00027334420675677914,0.600482041029307
892.0,85.00748743329729,1.49809943991048,0.0,0.0,1.1908426114491055,1952.9507053920202,0.00020506269564586025,0.13289400402988705,492.56020028250555,0.0004100163101351687,0.6073444455784383
893.0,85.96798978533064,1.164199105330876,0.0,0.0,1.3253117374011447,1953.2663051060267,0.00015379702173439519,0.12481824282024588,492.4159654889788,0.0005466884135135583,0.6142068501275694
894.0,86.92849213736399,0.8302987707512719,0.0,0.0,1.4597808633531844,1953.5819048200335,0.00010253134782293012,0.11674248161060471,492.27173069545205,0.0006833605168919479,0.6210692546767006
895.0,87.88899448939732,0.496398436171668,0.0,0.0,1.594249989305224,1953.8975045340403,5.1265673911465035e-05,0.10866672040096352,492.12749590192516,0.0008200326202703374,0.6279316592258318
896.0,88.84949684143066,0.1624981015920639,0.0,0.0,1.7287191152572632,1954.2131042480469,0.0,0.10059095919132233,491.98326110839844,0.0009567047236487269,0.6347940637749631
897.0,88.0405581338065,0.4797099232673645,0.0,0.0,1.6998768832002369,1954.5533926827568,0.0028230251045897603,0.08622082216399056,492.09528786795477,0.0009993639640535027,0.6290145207520683
898.0,87.23161942618233,0.7969217449426651,0.0,0.0,1.6710346511432101,1954.8936811174667,0.005646050209179521,0.0718506851366588,492.2073146275112,0.0010420232044582786,0.6232349777291735
899.0,86.42268071855818,1.1141335666179657,0.0,0.0,1.6421924190861836,1955.2339695521762,0.008469075313769281,0.05748054810932705,492.31934138706754,0.0010846824448630546,0.6174554347062787
900.0,85.613742010934,1.4313453882932663,0.0,0.0,1.6133501870291573,1955.5742579868863,0.011292100418359041,0.04311041108199528,492.43136814662387,0.0011273416852678303,0.6116758916833839
901.0,84.80480330330985,1.748557209968567,0.0,0.0,1.584507954972131,1955.9145464215958,0.0141151255229488,0.028740274054663516,492.5433949061802,0.0011700009256726063,0.6058963486604891
902.0,83.99586459568569,2.0657690316438675,0.0,0.0,1.5556657229151043,1956.2548348563057,0.016938150627538562,0.014370137027331767,492.65542166573664,0.0012126601660773823,0.6001168056375943
903.0,83.18692588806152,2.382980853319168,0.0,0.0,1.526823490858078,1956.5951232910156,0.019761175732128322,0.0,492.76744842529297,0.0012553194064821582,0.5943372626146995
904.0,83.89559636797225,2.244490363768169,0.0,0.0,1.3281083490167345,1956.493896484375,0.020559076652196903,0.03156745420502765,492.4809330531529,0.0012866136312368326,0.5994004293158318
905.0,84.60426684788295,2.1059998742171695,0.0,0.0,1.1293932071753912,1956.3926696777344,0.02135697757226548,0.0631349084100553,492.19441768101285,0.001317907855991507,0.6044635960169641
906.0,85.31293732779366,1.9675093846661704,0.0,0.0,0.9306780653340476,1956.2914428710938,0.02215487849233406,0.09470236261508294,491.90790230887274,0.0013492020807461813,0.6095267627180964
907.0,86.02160780770438,1.8290188951151711,0.0,0.0,0.7319629234927041,1956.1902160644531,0.02295277941240264,0.1262698168201106,491.62138693673273,0.0013804963055008557,0.6145899294192285
908.0,86.73027828761509,1.6905284055641718,0.0,0.0,0.5332477816513608,1956.0889892578125,0.023750680332471217,0.15783727102513825,491.3348715645926,0.00141179053025553,0.6196530961203608
909.0,87.4389487675258,1.5520379160131728,0.0,0.0,0.33453263981001713,1955.9877624511719,0.024548581252539795,0.18940472523016588,491.04835619245256,0.0014430847550102046,0.6247162628214931
910.0,88.14761924743652,1.4135474264621735,0.0,0.0,0.1358174979686737,1955.8865356445312,0.025346482172608376,0.22097217943519354,490.7618408203125,0.0014743789797648787,0.6297794295226253
911.0,87.340667452131,1.21161207982472,0.0,0.0,0.3209400730473655,1955.450474330357,0.02257805922999978,0.20184670841055258,490.56329345703125,0.0014288584103009532,0.6240140821923336
912.0,86.53371565682548,1.0096767331872667,0.0,0.0,0.5060626481260573,1955.014413016183,0.019809636287391186,0.18272123738591162,490.36474609375,0.0013833378408370273,0.6182487348620418
913.0,85.72676386151994,0.8077413865498134,0.0,0.0,0.691185223204749,1954.578351702009,0.01704121334478259,0.16359576636127063,490.16619873046875,0.0013378172713731018,0.61248338753175
914.0,84.91981206621443,0.60580603991236,0.0,0.0,0.8763077982834407,1954.1422903878347,0.014272790402173996,0.14447029533662967,489.9676513671875,0.001292296701909176,0.6067180402014583
915.0,84.1128602709089,0.4038706932749067,0.0,0.0,1.0614303733621324,1953.7062290736608,0.011504367459565401,0.12534482431198868,489.76910400390625,0.0012467761324452503,0.6009526928711665
916.0,83.30590847560337,0.20193534663745338,0.0,0.0,1.2465529484408242,1953.2701677594866,0.008735944516956806,0.10621935328734772,489.570556640625,0.0012012555629813248,0.5951873455408747
917.0,82.49895668029785,0.0,0.0,0.0,1.431675523519516,1952.8341064453125,0.005967521574348211,0.08709388226270676,489.37200927734375,0.0011557349935173988,0.5894219982105829
918.0,84.42613656180245,0.09711032254355294,0.0,0.0,1.3518280003752028,1953.183292933873,0.006429868251351375,0.08039501455745526,489.52523040771484,0.0019057653678048933,0.6031909264779992
919.0,86.35331644330707,0.19422064508710588,0.0,0.0,1.2719804772308894,1953.532479422433,0.006892214928354535,0.07369614685220378,489.67845153808594,0.002655795742092388,0.6169598547454155
920.0,88.28049632481165,0.2913309676306588,0.0,0.0,1.1921329540865764,1953.8816659109934,0.007354561605357699,0.06699727914695229,489.831672668457,0.0034058261163798825,0.6307287830128318
921.0,90.20767620631626,0.38844129017421175,0.0,0.0,1.112285430942263,1954.2308523995534,0.00781690828236086,0.0602984114417008,489.9848937988282,0.004155856490667377,0.644497711280248
922.0,92.13485608782086,0.4855516127177647,0.0,0.0,1.0324379077979497,1954.580038888114,0.008279254959364022,0.05359954373644931,490.1381149291992,0.0049058868649548715,0.6582666395476643
923.0,94.06203596932546,0.5826619352613176,0.0,0.0,0.9525903846536363,1954.929225376674,0.008741601636367186,0.04690067603119782,490.2913360595703,0.005655917239242366,0.6720355678150806
924.0,95.98921585083008,0.6797722578048706,0.0,0.0,0.8727428615093231,1955.2784118652344,0.009203948313370347,0.04020180832594633,490.4445571899414,0.006405947613529861,0.6858044960824968
925.0,95.33283042907715,0.9212247729301452,0.0,0.0,0.9343395105430058,1955.373713902065,0.007889098554317442,0.03909520671835967,490.6096910749163,0.005931521067395806,0.6811148851776558
926.0,94.67644500732422,1.16267728805542,0.0,0.0,0.9959361595766885,1955.4690159388952,0.0065742487952645335,0.03798860511077302,490.7748249598912,0.005457094521261752,0.6764252742728147
927.0,94.02005958557129,1.4041298031806946,0.0,0.0,1.0575328086103712,1955.5643179757255,0.005259399036211626,0.036882003503186364,490.93995884486606,0.004982667975127697,0.6717356633679737
928.0,93.36367416381836,1.6455823183059692,0.0,0.0,1.1191294576440538,1955.6596200125557,0.003944549277158721,0.035775401895599704,491.105092729841,0.004508241428993642,0.6670460524631328
929.0,92.70728874206543,1.8870348334312437,0.0,0.0,1.1807261066777366,1955.754922049386,0.0026296995181058136,0.03466880028801305,491.27022661481584,0.004033814882859588,0.6623564415582918
930.0,92.0509033203125,2.1284873485565186,0.0,0.0,1.2423227557114194,1955.8502240862163,0.0013148497590529068,0.0335621986804264,491.4353604997907,0.0035593883367255334,0.6576668306534507
931.0,91.39451789855957,2.369939863681793,0.0,0.0,1.303919404745102,1955.9455261230469,0.0,0.03245559707283974,491.6004943847656,0.0030849617905914783,0.6529772197486097
932.0,90.6696000780378,2.1547313800879886,0.0,0.0,1.203427066760404,1955.7405744280136,0.0017966294794210364,0.0302642716893128,491.437123979841,0.003468415392230132,0.6477979723071392
933.0,89.94468225751605,1.9395228964941842,0.0,0.0,1.1029347287757054,1955.5356227329798,0.003593258958842073,0.02807294630578586,491.2737535749163,0.003851868993868785,0.6426187248656687
934.0,89.21976443699428,1.7243144129003798,0.0,0.0,1.0024423907910074,1955.3306710379463,0.005389888438263109,0.025881620922258923,491.1103831699916,0.004235322595507438,0.6374394774241983
